q11_id,q12_age_int,q13_age_attd,q14_no_game,q15_team_sup,q16_attd_who,mar28,apr17,may2,may9,may23,june6,june27,july4,july24,july31,aug15,q18_game_last,q19_sport_fx,q21,q22,q23,q24,q25,q26,q27,q28,q29,q210,q211,q3,q41,q42,q43,q44,q45,q46,q51,q52,q53,q54,q55,q56,q57,q58,q61,q62,q63,q64,q65,q71,q711,q712,q72,q721,q722,q723,q73,q731,q732,q74,q741,q742,q75,q751,q81,q82,q83,q84,q85,q91,q911,q912,q92,q921,q922,q923,q924,q93,q931,q932,q933,q934,q94,q941,q942,q943,q95,q951,q952,q953,q10a,q10b,q10c,q10d,q10e,q10f,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q12a,q12b,q12c,q12d,q131,q132,q133,q134,q135,q136,q137,q138,q139,q141,q142,q143,q144,q145,q146,q151,q152,q153,q154,q155,q156,q157,q158,q159,q1510,q16,q17,q18,q18b,q19,q20,q21_agev152,q22_sexv153,q23_postcode,q24a,q24b,q24c,q24d,q24e,q24f,q25_incomev161
1097,25,25,0,3,2,0,1,0,1,1,1,1,1,0,0,1,2,1,4,1,3,4,3,2,4,1,6,7,5,3,1,3,3,6,1,1,1,1,3,3,1,1,1,1,40,4,4,2,40,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,40, ,20,20,40,1,1,1,3,3,3,3,5,1,1,3,1,1,3,4,4,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,4,4,4,3,4,2,2,4,4,4,1,1,5,6,4,2,4,1,3,1,2,1,5,1,2,6,1, ,2, ,1, ,7,1,2088,0,1,0,1,0,0,6
446,7,9, ,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,6,1,7,7,6,6,6,3,7,7,6,6,5,5,6,7,5,1,5,3,5,4,4,2,1,1,60,15,10,10,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,4,15,10,5,50,20,5,5,4,5,5,5,6,5,5,5,5,5, ,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,4,6,4,1,1,1,7,7,6,7,5,7,7,6,7,6,6,6,7,5,3,7,3,7,6,4,4,6,1,6,5,2,1,2,1,1,4,5,2,2088,0,1,0,1,0,0,7
25,23,23,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,6,7,6,7,7,1,7,1,7,1,7,4,7,2,7,7,7,4,7,7,7,7,7,1,7,7,20,20,20,20,20,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,50, , ,30,20,1,1,1,5,7,6,6,6,6,6,7,6,6,6,6,6,5,6,7,7,7,6,6,6,5,4,6,6,6,7,5,7,5,5,1,1,1,1,7,7,7,7,7,6,6,7,7,7,7,1,1,7,7,1,7,7,7,7,7,7,1,7,1,2,3,2, ,1,3,7,2,2093,0,1,0,0,1,0,7
902,5,6,1,3,2,1,1,1,1,1,1,1,1,1,0,1,1,2,6,6,4,6,3,7,3,5,6,2,4,4,5,5,5,6,5,4,4,3,4,4,3,4,4,4,20,35,25,10,10,5,5,4,5,4,4,5,5,6,5,5,5,5,5,4,10,15,15,30,30,6,4,4,5,5,5,5,6,5,5,6,5,5,6,6,6,6,5,4,5,2,5,5,4,5,5,5,6,6,4,4,5,4,4,3,1,1,1,5,5,6,4,4,4,5,5,6,1,3,4,4,4,5,5,4,5,5,6,4,4,1,6,4,2,1,2,1,1,1,5,2,2099,0,1,0,1,0,0,6
134,21,21,4,3,2,0,0,1,0,0,1,0,0,1,0,0, ,3,6,6,6,6,5,6,7,2,5,3,5,5,6,6,6,6,6,5,6,6,6,6,6,5,5,6,50,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,20,20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,1,5,6,6,5,6,5,5,6,6,6,6,6,5,6,2,2,5,3,3,5,5,3,3,3,5,4,1, ,2, ,1, ,5,2,2100,0,1,0,1,0,0,7
800,2,5,8,2,3,0,1,1,1,0,1,1,1,1,1,0,1,1,2,1,4,7,7,7,2,4,7,6,5,4,6,5,6,7,6,2,3,1,4,4,1,1,1,1,15,30,30,20,5,5,5,6,6,6,5,4,5,6,5,6,6,6,4,4, , , , , ,4,4,4,5,6,6,4,5,4,2,4,4,4,6,6,6,6,5,5,5,5,4,4,4,4,4,4,5,5,5,5,6,5,5,3,3,3,3,5,5,4,4,4,5,5,5,4,1,4,7,1,5,6,1,4,7,1,6,4,5,1,3,1,2,1,2,1,1,1,5,2,2100,0,1,0,1,0,0,5
321,42,42,5,1,2,1,1,1,1,1,1,1,1,0,0,1,2,2,6,7,6,7,4,1,5,1,6,2,3,7,6,4,6,6,5,4,5,6,7,7,7,5,4,5,35,20,5,30,10,5,5,4,6,4,5,6,5,4,5,5,6,6,6,6,15,15,10,50,10,5,5,6,6,7,6,7,7,6,6,6,6,6,7,7,7,6,6,6,6, ,6,7,6,6,7,7,6,6,7,5,7,5,6,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,2,3,6,7,7,6,6,6,7,6,6,7,7,2,1, ,1, ,1, ,6,2,2101,0,1,0,1,0,0,6
349,5,5,10,2,2,1,1,1,1,0,1,1,1,1,1,1,2,2,6,6,6,7,4,7,6,1,7,4,6,4,6,5,7,7,7,4,5,5,6,6,5,5,6,6,25,30,35,5,5,5,5,6,5,5,5,3,5,5,5,6,5,6,5,4,10,30,10,30,20,7,7,7,6,6,6,6,7,5,6,7,5,4,7,7,7,7,6,6,6,5,5,7,6,5,7,7,6,6,7,5,6,6,7,2,1,1,1,6,7,5,7,6,7,7,7,7,5,7,2,6,6,7,7,5,6,6,7,5,7,6,6,4,2,1,2,1,1,1,7,2,2101,0,1,0,1,0,0,6
795,3,5,4,2,2,0,1,0,1,1,1,1,1,1,1,1,2, ,7,5,5,7,5,6,7,1,7,5,7,6,4,4,7,7,5,5,7,5,5,5,5,5,1,5,40,15,15,15,15,5,5,5,6,5,5,5,6,6,6,6,6,7,7,7,35,35, ,15,15,6,5,4,6,7,5,6,7,6,6,7,7,7,6,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,1,3,7,7,4,7,7,7,7,4,7,1,7,4,2,2,1, ,1,1,5,2,2106,0,1,0,1,0,0,6
42,14,14, ,3, ,0,1,1,1,1,1,1,1,1,1,1,2,3,7,6,7,7,1,5,7,5,7,4,7,4,6,6,7,7,6,4,7,7,7,5,7,3,7,7,30,15,40,10,5,6,5,5,6,5,5,5,7,6,5,7,7,6,6,5,5,30,5,30,30,6,5,6,5,5,4,4,6,6,7,7,6,6,7,7,7,6,7,7,7,7,7,6,6,6,6,6,6,6,7,6,6,7,6,1,1,1,1,6,7,7,7,7,6,7,7,6,7,7,2,1,7,7,4,4,7,4,6,6,4,5,7,4,1, ,1, ,1, ,3,2,2113,0,1,0,1,0,0,3
